0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 37 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 37 6 38 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 39 10 11 12 13 14 15 16 17 18 19 20 21 40 23 24 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 41 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 41 25 26 27 28 29 42 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 39 10 11 12 13 14 15 16 17 18 19 20 21 40 23 41 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 37 6 7 8 9 10 43 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 9 10 43 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 44 32 33 34 35 36
0 1 2 3 4 5 6 38 8 9 10 43 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 37 6 38 8 9 10 43 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 39 10 43 12 13 14 15 16 17 18 19 20 21 40 23 24 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 39 10 43 12 13 14 15 16 17 18 19 20 21 40 23 24 25 26 27 28 29 30 44 32 33 34 35 36
0 1 2 3 4 5 6 7 8 39 10 43 12 13 14 15 16 17 18 19 45 21 40 23 24 25 26 27 28 29 30 44 32 33 34 35 36
0 1 2 3 4 37 6 7 8 39 10 43 12 13 14 15 16 17 18 19 20 21 40 23 24 25 26 27 28 29 30 44 32 33 34 35 36
0 1 2 3 4 37 6 7 8 9 10 43 12 13 14 15 16 17 18 19 20 21 22 23 41 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 9 10 43 12 13 14 15 16 17 18 19 20 21 22 23 41 25 26 27 28 29 30 44 32 33 34 35 36
0 1 2 3 4 37 6 38 8 9 10 43 12 13 14 15 16 17 18 19 20 21 22 23 41 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 39 10 43 12 13 14 15 16 17 18 19 20 21 40 23 41 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 39 10 43 12 13 14 15 16 17 18 19 20 21 40 23 41 25 26 27 28 29 30 44 32 33 34 35 36
0 1 2 3 4 5 6 7 8 39 10 43 12 13 14 15 16 17 18 19 45 21 40 23 41 25 26 27 28 29 30 44 32 33 34 35 36
0 1 2 3 4 37 6 7 8 39 10 43 12 13 14 15 16 17 18 19 20 21 40 23 41 25 26 27 28 29 30 44 32 33 34 35 36
0 1 2 3 4 5 6 7 8 9 10 43 12 13 14 46 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 9 10 43 12 13 14 46 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 44 32 33 34 35 36
0 1 2 3 4 5 6 7 8 9 10 43 12 13 14 46 16 17 18 19 45 21 22 23 24 25 26 27 28 29 30 44 32 33 34 35 36
0 1 2 3 4 5 6 38 8 9 10 43 12 13 14 46 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 37 6 38 8 9 10 43 12 13 14 46 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 39 10 43 12 13 14 46 16 17 18 19 20 21 40 23 24 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 9 10 43 12 13 14 46 16 17 18 19 20 21 22 23 41 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 9 10 43 12 13 14 46 16 17 18 19 20 21 22 23 41 25 26 27 28 29 30 44 32 33 34 35 36
0 1 2 3 4 5 6 7 8 9 10 43 12 13 14 46 16 17 18 19 45 21 22 23 41 25 26 27 28 29 30 44 32 33 34 35 36
0 1 2 3 4 5 6 7 8 39 10 43 12 13 14 46 16 17 18 19 20 21 40 23 41 25 26 27 28 29 30 31 32 33 34 35 36
0 1 2 3 4 5 6 7 8 9 10 43 12 13 14 46 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 47 36
0 1 2 3 4 5 6 7 8 9 10 43 12 13 14 46 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 44 32 33 34 47 36
0 1 2 3 4 5 6 38 8 9 10 43 12 13 14 46 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 47 36
0 1 2 3 4 37 6 38 8 9 10 43 12 13 14 46 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 47 36
0 1 2 3 4 37 6 38 8 9 10 43 12 13 14 46 16 17 18 19 45 21 22 23 24 25 26 27 28 29 30 31 32 33 34 47 36
0 1 2 3 4 5 6 7 8 39 10 43 12 13 14 46 16 17 18 19 20 21 40 23 24 25 26 27 28 29 30 31 32 33 34 47 36
0 1 2 3 4 5 6 7 8 9 10 43 12 13 14 46 16 17 18 19 20 21 22 23 41 25 26 27 28 29 30 44 32 33 34 47 36
0 1 2 3 4 5 6 7 8 39 10 43 12 13 14 46 16 17 18 19 20 21 40 23 41 25 26 27 28 29 30 31 32 33 34 47 36
0 48 2 3 4 5 6 7 8 9 10 43 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 44 32 33 34 35 36
